name,strunz,id,formula,elements,hyperlink,comments,shift
Alunogen_R060015-1,7.CB.45,R060015-1,Al2(SO4)3(H2O)12 5H2O,Al S O H,[RRUF](https://rruff.info/R060015) [Mindat](http://www.mindat.org/search.php?name=Alunogen),,
Amarantite_R050153-1,7.DB.30,R050153-1,Fe3+2O(SO4)2 7H2O,Fe O S H,[RRUF](https://rruff.info/R050153) [Mindat](http://www.mindat.org/search.php?name=Amarantite),,
Amblygonite_R040006-1,8.BB.05,R040006-1,LiAl(PO4)F,Li Al P O F,[RRUF](https://rruff.info/R040006) [Mindat](http://www.mindat.org/search.php?name=Amblygonite),,
Amblygonite_R040067-1,8.BB.05,R040067-1,LiAl(PO4)F,Li Al P O F,[RRUF](https://rruff.info/R040067) [Mindat](http://www.mindat.org/search.php?name=Amblygonite),,
Amesite_R070132-1,9.ED.15,R070132-1,Mg2Al(AlSiO5)(OH)4,Mg Al Si O H,[RRUF](https://rruff.info/R070132) [Mindat](http://www.mindat.org/search.php?name=Amesite),,
Ammoniomagnesiovoltaite_R130079,7.DF.,R130079,(NH4)2Mg5Fe3+3Al(SO4)12 18H2O,N H Mg Fe Al S O,[RRUF](https://rruff.info/R130079) [Mindat](http://www.mindat.org/search.php?name=Ammoniomagnesiovoltaite),,
Analcime_R040128-1,9.GB.05,R040128-1,Na(AlSi2O6) H2O,Na Al Si O H,[RRUF](https://rruff.info/R040128) [Mindat](http://www.mindat.org/search.php?name=Analcime),,
Analcime_R050094-1,9.GB.05,R050094-1,Na(AlSi2O6) H2O,Na Al Si O H,[RRUF](https://rruff.info/R050094) [Mindat](http://www.mindat.org/search.php?name=Analcime),,
Analcime_R060023-1,9.GB.05,R060023-1,Na(AlSi2O6) H2O,Na Al Si O H,[RRUF](https://rruff.info/R060023) [Mindat](http://www.mindat.org/search.php?name=Analcime),,
Anapaite_R050510-1,8.CH.10,R050510-1,Ca2Fe2+(PO4)2 4H2O,Ca Fe P O H,[RRUF](https://rruff.info/R050510) [Mindat](http://www.mindat.org/search.php?name=Anapaite),,
Andalusite_R050258-1,9.AF.10,R050258-1,Al2SiO5,Al Si O,[RRUF](https://rruff.info/R050258) [Mindat](http://www.mindat.org/search.php?name=Andalusite),,
Andalusite_R050449-1,9.AF.10,R050449-1,Al2SiO5,Al Si O,[RRUF](https://rruff.info/R050449) [Mindat](http://www.mindat.org/search.php?name=Andalusite),,
Andalusite_R050561-1,9.AF.10,R050561-1,Al2SiO5,Al Si O,[RRUF](https://rruff.info/R050561) [Mindat](http://www.mindat.org/search.php?name=Andalusite),,
Andalusite_R050626-1,9.AF.10,R050626-1,Al2SiO5,Al Si O,[RRUF](https://rruff.info/R050626) [Mindat](http://www.mindat.org/search.php?name=Andalusite),,
Andradite_R040001-1,9.AD.25,R040001-1,Ca3Fe3+2(SiO4)3,Ca Fe Si O,[RRUF](https://rruff.info/R040001) [Mindat](http://www.mindat.org/search.php?name=Andradite),,
Andradite_R050256-1,9.AD.25,R050256-1,Ca3Fe3+2(SiO4)3,Ca Fe Si O,[RRUF](https://rruff.info/R050256) [Mindat](http://www.mindat.org/search.php?name=Andradite),,
Andradite_R050256-1,9.AD.25,R050256-1,Ca3Fe3+2(SiO4)3,Ca Fe Si O,[RRUF](https://rruff.info/R050256) [Mindat](http://www.mindat.org/search.php?name=Andradite),,
Andradite_R050311-1,9.AD.25,R050311-1,Ca3Fe3+2(SiO4)3,Ca Fe Si O,[RRUF](https://rruff.info/R050311) [Mindat](http://www.mindat.org/search.php?name=Andradite),,
Andradite_R050377-1,9.AD.25,R050377-1,Ca3Fe3+2(SiO4)3,Ca Fe Si O,[RRUF](https://rruff.info/R050377) [Mindat](http://www.mindat.org/search.php?name=Andradite),,
Anglesite_R040004-1,7.AD.35,R040004-1,Pb(SO4),Pb S O,[RRUF](https://rruff.info/R040004) [Mindat](http://www.mindat.org/search.php?name=Anglesite),,
Anglesite_R050052-1,7.AD.35,R050052-1,Pb(SO4),Pb S O,[RRUF](https://rruff.info/R050052) [Mindat](http://www.mindat.org/search.php?name=Anglesite),,
Anglesite_R050408-1,7.AD.35,R050408-1,Pb(SO4),Pb S O,[RRUF](https://rruff.info/R050408) [Mindat](http://www.mindat.org/search.php?name=Anglesite),,
Anhydrite_R040012-1,7.AD.30,R040012-1,Ca(SO4),Ca S O,[RRUF](https://rruff.info/R040012) [Mindat](http://www.mindat.org/search.php?name=Anhydrite),,
Anhydrite_R040061-1,7.AD.30,R040061-1,Ca(SO4),Ca S O,[RRUF](https://rruff.info/R040061) [Mindat](http://www.mindat.org/search.php?name=Anhydrite),,
Ankerite_R050181-1,5.AB.10,R050181-1,"Ca(Fe2+,Mg)(CO3)2",Ca Fe Mg C O,[RRUF](https://rruff.info/R050181) [Mindat](http://www.mindat.org/search.php?name=Ankerite),,
Annabergite_R050462-1,8.CE.40,R050462-1,Ni3(AsO4)2 8H2O,Ni As O H,[RRUF](https://rruff.info/R050462) [Mindat](http://www.mindat.org/search.php?name=Annabergite),,
Anorthite_R040059-1,9.FA.35,R040059-1,Ca(Al2Si2O8),Ca Al Si O,[RRUF](https://rruff.info/R040059) [Mindat](http://www.mindat.org/search.php?name=Anorthite),,
Anorthite_R050104-1,9.FA.35,R050104-1,Ca(Al2Si2O8),Ca Al Si O,[RRUF](https://rruff.info/R050104) [Mindat](http://www.mindat.org/search.php?name=Anorthite),,
Anorthite_R050104-1,9.FA.35,R050104-1,Ca(Al2Si2O8),Ca Al Si O,[RRUF](https://rruff.info/R050104) [Mindat](http://www.mindat.org/search.php?name=Anorthite),,
Anorthite_R060082-1,9.FA.35,R060082-1,Ca(Al2Si2O8),Ca Al Si O,[RRUF](https://rruff.info/R060082) [Mindat](http://www.mindat.org/search.php?name=Anorthite),,
Antigorite_R070228-1,9.ED.15,R070228-1,Mg3Si2O5(OH)4,Mg Si O H,[RRUF](https://rruff.info/R070228) [Mindat](http://www.mindat.org/search.php?name=Antigorite),,
Antimony_R050654-1,1.CA.05,R050654-1,Sb,Sb,[RRUF](https://rruff.info/R050654) [Mindat](http://www.mindat.org/search.php?name=Antimony),,
Antimony_R050654-1,1.CA.05,R050654-1,Sb,Sb,[RRUF](https://rruff.info/R050654) [Mindat](http://www.mindat.org/search.php?name=Antimony),,
Antlerite_R050212-1,7.BB.15,R050212-1,Cu2+3(SO4)(OH)4,Cu S O H,[RRUF](https://rruff.info/R050212) [Mindat](http://www.mindat.org/search.php?name=Antlerite),,
Antlerite_R050212-1,7.BB.15,R050212-1,Cu2+3(SO4)(OH)4,Cu S O H,[RRUF](https://rruff.info/R050212) [Mindat](http://www.mindat.org/search.php?name=Antlerite),,
Aphthitalite_R050651-1,7.AC.35,R050651-1,K3Na(SO4)2,K Na S O,[RRUF](https://rruff.info/R050651) [Mindat](http://www.mindat.org/search.php?name=Aphthitalite),,
Aragonite_R040078-1,5.AB.15,R040078-1,Ca(CO3),Ca C O,[RRUF](https://rruff.info/R040078) [Mindat](http://www.mindat.org/search.php?name=Aragonite),,
Arfvedsonite_R040127-1,9.DE.25,R040127-1,NaNa2(Fe2+4Fe3+)Si8O22(OH)2,Na Fe Si O H,[RRUF](https://rruff.info/R040127) [Mindat](http://www.mindat.org/search.php?name=Arfvedsonite),,
Arfvedsonite_R050514-1,9.DE.25,R050514-1,NaNa2(Fe2+4Fe3+)Si8O22(OH)2,Na Fe Si O H,[RRUF](https://rruff.info/R050514) [Mindat](http://www.mindat.org/search.php?name=Arfvedsonite),,
Argandite_R130044,8.BE.30,R130044,Mn7(VO4)2(OH)8,Mn V O H,[RRUF](https://rruff.info/R130044) [Mindat](http://www.mindat.org/search.php?name=Argandite),,
Argentojarosite_R060097-1,7.BC.10,R060097-1,AgFe3+3(SO4)2(OH)6,Ag Fe S O H,[RRUF](https://rruff.info/R060097) [Mindat](http://www.mindat.org/search.php?name=Argentojarosite),,
Argentojarosite_R060098-1,7.BC.10,R060098-1,AgFe3+3(SO4)2(OH)6,Ag Fe S O H,[RRUF](https://rruff.info/R060098) [Mindat](http://www.mindat.org/search.php?name=Argentojarosite),,
Argesite_R130008,7.CD.,R130008,(NH4)7Bi3Cl16,N H Bi Cl,[RRUF](https://rruff.info/R130008) [Mindat](http://www.mindat.org/search.php?name=Argesite),,
Argyrodite_R050437-1,2.BA.70,R050437-1,Ag8GeS6,Ag Ge S,[RRUF](https://rruff.info/R050437) [Mindat](http://www.mindat.org/search.php?name=Argyrodite),,
ArrojaditeKNa_R050107-1,8.BF.05,R050107-1,KNa3(CaNa2)Fe2+13Al(PO4)11(PO3OH)(OH)2,K Na Ca Fe Al P O H,[RRUF](https://rruff.info/R050107) [Mindat](http://www.mindat.org/search.php?name=ArrojaditeKNa),,
Arsenic_R050653-1,1.CA.05,R050653-1,As,As,[RRUF](https://rruff.info/R050653) [Mindat](http://www.mindat.org/search.php?name=Arsenic),,
Arsenolite_R050383-1,4.CB.50,R050383-1,As2O3,As O,[RRUF](https://rruff.info/R050383) [Mindat](http://www.mindat.org/search.php?name=Arsenolite),,
Arsenopyrite_R050071-1,2.EB.20,R050071-1,FeAsS,Fe As S,[RRUF](https://rruff.info/R050071) [Mindat](http://www.mindat.org/search.php?name=Arsenopyrite),,
Atacamite_R050098-1,3.DA.10a,R050098-1,Cu2Cl(OH)3,Cu Cl O H,[RRUF](https://rruff.info/R050098) [Mindat](http://www.mindat.org/search.php?name=Atacamite),,
Augelite_R050060-1,8.BE.05,R050060-1,Al2(PO4)(OH)3,Al P O H,[RRUF](https://rruff.info/R050060) [Mindat](http://www.mindat.org/search.php?name=Augelite),,
Augelite_R050100-1,8.BE.05,R050100-1,Al2(PO4)(OH)3,Al P O H,[RRUF](https://rruff.info/R050100) [Mindat](http://www.mindat.org/search.php?name=Augelite),,
Augelite_R050316-1,8.BE.05,R050316-1,Al2(PO4)(OH)3,Al P O H,[RRUF](https://rruff.info/R050316) [Mindat](http://www.mindat.org/search.php?name=Augelite),,
Augite_R061086-1,9.DA.15,R061086-1,"(Ca,Mg,Fe)2Si2O6",Ca Mg Fe Si O,[RRUF](https://rruff.info/R061086) [Mindat](http://www.mindat.org/search.php?name=Augite),,
Aurichalcite_R050297-1,5.BA.15,R050297-1,"(Zn,Cu)5(CO3)2(OH)6",Zn Cu C O H,[RRUF](https://rruff.info/R050297) [Mindat](http://www.mindat.org/search.php?name=Aurichalcite),,
AxiniteFe_R040074-1,9.BD.20,R040074-1,Ca4Fe2+2Al4 [B2Si8O30 ](OH)2,Ca Fe Al B Si O H,[RRUF](https://rruff.info/R040074) [Mindat](http://www.mindat.org/search.php?name=AxiniteFe),,
AxiniteFe_R050026-1,9.BD.20,R050026-1,Ca4Fe2+2Al4 [B2Si8O30 ](OH)2,Ca Fe Al B Si O H,[RRUF](https://rruff.info/R050026) [Mindat](http://www.mindat.org/search.php?name=AxiniteFe),,
AxiniteFe_R050061-1,9.BD.20,R050061-1,Ca4Fe2+2Al4 [B2Si8O30 ](OH)2,Ca Fe Al B Si O H,[RRUF](https://rruff.info/R050061) [Mindat](http://www.mindat.org/search.php?name=AxiniteFe),,
AxiniteMn_R050299-1,9.BD.20,R050299-1,Ca4Mn2+2Al4 [B2Si8O30 ](OH)2,Ca Mn Al B Si O H,[RRUF](https://rruff.info/R050299) [Mindat](http://www.mindat.org/search.php?name=AxiniteMn),,
Azurite_R050497-1,5.BA.05,R050497-1,Cu3(CO3)2(OH)2,Cu C O H,[RRUF](https://rruff.info/R050497) [Mindat](http://www.mindat.org/search.php?name=Azurite),,
Azurite_R050497-1,5.BA.05,R050497-1,Cu3(CO3)2(OH)2,Cu C O H,[RRUF](https://rruff.info/R050497) [Mindat](http://www.mindat.org/search.php?name=Azurite),,
Azurite_R050638-1,5.BA.05,R050638-1,Cu3(CO3)2(OH)2,Cu C O H,[RRUF](https://rruff.info/R050638) [Mindat](http://www.mindat.org/search.php?name=Azurite),,
Babingtonite_R060083-1,9.DK.05,R060083-1,Ca2Fe2+Fe3+Si5O14(OH),Ca Fe Si O H,[RRUF](https://rruff.info/R060083) [Mindat](http://www.mindat.org/search.php?name=Babingtonite),,
Babingtonite_R060084-1,9.DK.05,R060084-1,Ca2Fe2+Fe3+Si5O14(OH),Ca Fe Si O H,[RRUF](https://rruff.info/R060084) [Mindat](http://www.mindat.org/search.php?name=Babingtonite),,
