name,strunz,id,formula,elements,hyperlink,wavelength,status,comments,shift
Tuperssuatsiaite_R050223,9.EE.20,R050223,"Na2(Fe3+,Mn2+)3Si8O20(OH)2 4H2O",Na Fe Mn Si O H,[RRUF](https://rruff.info/R050223) [Mindat](http://www.mindat.org/search.php?name=Tuperssuatsiaite),780,RAW,"Group of reddish brown radiating acicular crystalsThe identification of this mineral has been confirmed by single-crystal X-ray diffraction owner: RRUFFMarcus Origlieri locality: Aris phonolite, Windhoek, Namibia",
Turkestanite_R060525,9.CH.10,R060525,"(K,  box )(Ca,Na)2ThSi8O20 nH2O",K Ca Na Th Si O H,[RRUF](https://rruff.info/R060525) [Mindat](http://www.mindat.org/search.php?name=Turkestanite),780,RAW,"Divergent group of brown rectangular prismsThe identification of this mineral is confirmed by single-crystal X-ray diffraction and chemical analysis owner: RRUFFMichael Scott locality: DeMix Quarry, Mont St. Hilaire, Rouville County, Quebec, Canada",
Turneaureite_R070758,8.BN.05,R070758,Ca5(AsO4)3Cl,Ca As O Cl,[RRUF](https://rruff.info/R070758) [Mindat](http://www.mindat.org/search.php?name=Turneaureite),532,RAW,"Colorless to grayish white massive that fluoresces bright orange under SW UV.The identification of this mineral has been confirmed only by single crystal X-ray diffraction owner: RRUFFMichael Scott locality: ZCA mine No. 4 (St Joe mine), Balmat, Balmat-Edwards Zinc District, St Lawrence County, New York, USA",
Turneaureite_R070758,8.BN.05,R070758,Ca5(AsO4)3Cl,Ca As O Cl,[RRUF](https://rruff.info/R070758) [Mindat](http://www.mindat.org/search.php?name=Turneaureite),532,Proceed,"Colorless to grayish white massive that fluoresces bright orange under SW UV.The identification of this mineral has been confirmed only by single crystal X-ray diffraction owner: RRUFFMichael Scott locality: ZCA mine No. 4 (St Joe mine), Balmat, Balmat-Edwards Zinc District, St Lawrence County, New York, USA",
Tveitite-(Y)_R060895,3.AB.30,R060895,"(Y,Na)6(Ca,Na,REE)12(Ca,Na)F42",Y Na Ca REE F,[RRUF](https://rruff.info/R060895) [Mindat](http://www.mindat.org/search.php?name=Tveitite-(Y)),785,RAW,"Pink massiveThe identification of this mineral has been confirmed by X-ray diffraction owner: RRUFFMichael Scott locality: Rov-Gora, West Keivy, Kola Peninsula, Russia",
Tveitite-(Y)_R060895,3.AB.30,R060895,"(Y,Na)6(Ca,Na,REE)12(Ca,Na)F42",Y Na Ca REE F,[RRUF](https://rruff.info/R060895) [Mindat](http://www.mindat.org/search.php?name=Tveitite-(Y)),532,Proceed,"Pink massiveThe identification of this mineral has been confirmed by X-ray diffraction owner: RRUFFMichael Scott locality: Rov-Gora, West Keivy, Kola Peninsula, Russia",
Tyrolite_R050231,8.DM.10,R050231,Ca2Cu9(AsO4)4(CO3)(OH)8 11H2O,Ca Cu As O C H,[RRUF](https://rruff.info/R050231) [Mindat](http://www.mindat.org/search.php?name=Tyrolite),780,RAW,"Thin green scaly crystalsThe identification of this mineral is confirmed by single-crystal X-ray diffraction and chemical analysis owner: RRUFFMarcus Origlieri locality: Tyrol, Austria",
Tyrolite_R050231,8.DM.10,R050231,Ca2Cu9(AsO4)4(CO3)(OH)8 11H2O,Ca Cu As O C H,[RRUF](https://rruff.info/R050231) [Mindat](http://www.mindat.org/search.php?name=Tyrolite),780,Proceed,"Thin green scaly crystalsThe identification of this mineral is confirmed by single-crystal X-ray diffraction and chemical analysis owner: RRUFFMarcus Origlieri locality: Tyrol, Austria",
Tyrolite_R050571,8.DM.10,R050571,Ca2Cu9(AsO4)4(CO3)(OH)8 11H2O,Ca Cu As O C H,[RRUF](https://rruff.info/R050571) [Mindat](http://www.mindat.org/search.php?name=Tyrolite),780,Proceed,"Pale blue foliated coating, tyrolite-2M polytypeThe identification of this mineral is confirmed by single-crystal X-ray diffraction and chemical analysis owner: RRUFFUniversity of Arizona Mineral Museum locality: Penamellera, Spain",
Tyrolite_R050571,8.DM.10,R050571,Ca2Cu9(AsO4)4(CO3)(OH)8 11H2O,Ca Cu As O C H,[RRUF](https://rruff.info/R050571) [Mindat](http://www.mindat.org/search.php?name=Tyrolite),780,RAW,"Pale blue foliated coating, tyrolite-2M polytypeThe identification of this mineral is confirmed by single-crystal X-ray diffraction and chemical analysis owner: RRUFFUniversity of Arizona Mineral Museum locality: Penamellera, Spain",
Tyrolite_R060264,8.DM.10,R060264,Ca2Cu9(AsO4)4(CO3)(OH)8 11H2O,Ca Cu As O C H,[RRUF](https://rruff.info/R060264) [Mindat](http://www.mindat.org/search.php?name=Tyrolite),780,RAW,"Greenish-blue flat bladed crystals in radial aggregatesThe identification of this mineral has been confirmed by single-crystal X-ray diffraction owner: RRUFFMichael Scott locality: Lovelock mine, Bolivia, Cottonwood Canyon, Churchill County, Nevada, USA",
Tyrolite_R060264,8.DM.10,R060264,Ca2Cu9(AsO4)4(CO3)(OH)8 11H2O,Ca Cu As O C H,[RRUF](https://rruff.info/R060264) [Mindat](http://www.mindat.org/search.php?name=Tyrolite),780,Proceed,"Greenish-blue flat bladed crystals in radial aggregatesThe identification of this mineral has been confirmed by single-crystal X-ray diffraction owner: RRUFFMichael Scott locality: Lovelock mine, Bolivia, Cottonwood Canyon, Churchill County, Nevada, USA",
Uchucchacuaite_R070760,2.JB.40a,R070760,AgMnPb3Sb5S12,Ag Mn Pb Sb S,[RRUF](https://rruff.info/R070760) [Mindat](http://www.mindat.org/search.php?name=Uchucchacuaite),532,Proceed,"Steel gray metallic massive associated with rhodochrositeThe identification of this mineral is confirmed by single-crystal X-ray diffraction and chemical analysis owner: RRUFFMichael Scott locality: Inakuraishi mine, Shakotan peninsula, Shiribeshi Province, Hokkaido Island, Japan",
Uchucchacuaite_R070760,2.JB.40a,R070760,AgMnPb3Sb5S12,Ag Mn Pb Sb S,[RRUF](https://rruff.info/R070760) [Mindat](http://www.mindat.org/search.php?name=Uchucchacuaite),532,RAW,"Steel gray metallic massive associated with rhodochrositeThe identification of this mineral is confirmed by single-crystal X-ray diffraction and chemical analysis owner: RRUFFMichael Scott locality: Inakuraishi mine, Shakotan peninsula, Shiribeshi Province, Hokkaido Island, Japan",
Uchucchacuaite_R100213,2.JB.40a,R100213,AgMnPb3Sb5S12,Ag Mn Pb Sb S,[RRUF](https://rruff.info/R100213) [Mindat](http://www.mindat.org/search.php?name=Uchucchacuaite),532,RAW,"Bright silver metallic massive, associated with quartzThe identification of this mineral is confirmed by single-crystal X-ray diffraction and chemical analysis owner: RRUFFMark N. Feinglos locality: Uchuc-Chacua, Lima, Peru",
Uchucchacuaite_R100213,2.JB.40a,R100213,AgMnPb3Sb5S12,Ag Mn Pb Sb S,[RRUF](https://rruff.info/R100213) [Mindat](http://www.mindat.org/search.php?name=Uchucchacuaite),532,Proceed,"Bright silver metallic massive, associated with quartzThe identification of this mineral is confirmed by single-crystal X-ray diffraction and chemical analysis owner: RRUFFMark N. Feinglos locality: Uchuc-Chacua, Lima, Peru",
Ullmannite_R070541,2.EB.25,R070541,NiSbS,Ni Sb S,[RRUF](https://rruff.info/R070541) [Mindat](http://www.mindat.org/search.php?name=Ullmannite),785,RAW,"Steel gray massiveThe identification of this mineral has been confirmed by single-crystal X-ray diffraction owner: RRUFFJames Shigley locality: Oms, Pyrennes Mountains, Spain",
Ullmannite_R070541,2.EB.25,R070541,NiSbS,Ni Sb S,[RRUF](https://rruff.info/R070541) [Mindat](http://www.mindat.org/search.php?name=Ullmannite),785,Proceed,"Steel gray massiveThe identification of this mineral has been confirmed by single-crystal X-ray diffraction owner: RRUFFJames Shigley locality: Oms, Pyrennes Mountains, Spain",
Uraninite_R070747,4.DL.05,R070747,UO2,U O,[RRUF](https://rruff.info/R070747) [Mindat](http://www.mindat.org/search.php?name=Uraninite),532,RAW,"Elongated dodecahedral gray-black submetallic crystalsThe identification of this mineral has been confirmed by X-ray diffraction owner: RRUFFMichael Scott locality: Topsham, Sagadahoc County, Maine, USA",
Uraninite_R070747,4.DL.05,R070747,UO2,U O,[RRUF](https://rruff.info/R070747) [Mindat](http://www.mindat.org/search.php?name=Uraninite),532,Proceed,"Elongated dodecahedral gray-black submetallic crystalsThe identification of this mineral has been confirmed by X-ray diffraction owner: RRUFFMichael Scott locality: Topsham, Sagadahoc County, Maine, USA",
Uraninite_R070747,4.DL.05,R070747,UO2,U O,[RRUF](https://rruff.info/R070747) [Mindat](http://www.mindat.org/search.php?name=Uraninite),780,Proceed,"Elongated dodecahedral gray-black submetallic crystalsThe identification of this mineral has been confirmed by X-ray diffraction owner: RRUFFMichael Scott locality: Topsham, Sagadahoc County, Maine, USA",
Uraninite_R070747,4.DL.05,R070747,UO2,U O,[RRUF](https://rruff.info/R070747) [Mindat](http://www.mindat.org/search.php?name=Uraninite),780,RAW,"Elongated dodecahedral gray-black submetallic crystalsThe identification of this mineral has been confirmed by X-ray diffraction owner: RRUFFMichael Scott locality: Topsham, Sagadahoc County, Maine, USA",
Uranophane_R070038,9.AK.15,R070038,Ca(UO2)2(SiO3OH)2 5H2O,Ca U O Si H,[RRUF](https://rruff.info/R070038) [Mindat](http://www.mindat.org/search.php?name=Uranophane),532,RAW,"Lemon-yellow granular coatingThe identification of this mineral has been confirmed by X-ray diffraction owner: RRUFFMichael Scott locality: Kyzulsai Mo-U deposit, south Kazakhstan",
Uranophane_R070038,9.AK.15,R070038,Ca(UO2)2(SiO3OH)2 5H2O,Ca U O Si H,[RRUF](https://rruff.info/R070038) [Mindat](http://www.mindat.org/search.php?name=Uranophane),532,Proceed,"Lemon-yellow granular coatingThe identification of this mineral has been confirmed by X-ray diffraction owner: RRUFFMichael Scott locality: Kyzulsai Mo-U deposit, south Kazakhstan",
Ushkovite_R060954,8.DC.30,R060954,MgFe3+2(PO4)2(OH)2 8H2O,Mg Fe P O H,[RRUF](https://rruff.info/R060954) [Mindat](http://www.mindat.org/search.php?name=Ushkovite),532,Proceed,"Radial aggregate of pale brownish yellow bladed crystals, associated with radial aggregate of pale green atencioite, dark green rockbridgeite, and lefontite R140074The identification of this mineral is confirmed by single-crystal X-ray diffraction and chemical analysis owner: RRUFFBob Jenkins locality: Linópolis, Minas Gerais, Brazil",
Ushkovite_R060954,8.DC.30,R060954,MgFe3+2(PO4)2(OH)2 8H2O,Mg Fe P O H,[RRUF](https://rruff.info/R060954) [Mindat](http://www.mindat.org/search.php?name=Ushkovite),532,RAW,"Radial aggregate of pale brownish yellow bladed crystals, associated with radial aggregate of pale green atencioite, dark green rockbridgeite, and lefontite R140074The identification of this mineral is confirmed by single-crystal X-ray diffraction and chemical analysis owner: RRUFFBob Jenkins locality: Linópolis, Minas Gerais, Brazil",
Utahite_R190036,7.DE.25,R190036,MgCu2+4Zn2Te6+3O14(OH)4 6H2O,Mg Cu Zn Te O H,[RRUF](https://rruff.info/R190036) [Mindat](http://www.mindat.org/search.php?name=Utahite),532,Proceed,"Blue acicular crystals found as isolated crystals, or as sprays, associated with quartz and greenish dugganiteThe identification of this mineral has been confirmed by single-crystal X-ray diffraction owner: RRUFFPeter Megaw locality: Tombstone, Cochise County, Arizona, USA",
Utahite_R190036,7.DE.25,R190036,MgCu2+4Zn2Te6+3O14(OH)4 6H2O,Mg Cu Zn Te O H,[RRUF](https://rruff.info/R190036) [Mindat](http://www.mindat.org/search.php?name=Utahite),780,RAW,"Blue acicular crystals found as isolated crystals, or as sprays, associated with quartz and greenish dugganiteThe identification of this mineral has been confirmed by single-crystal X-ray diffraction owner: RRUFFPeter Megaw locality: Tombstone, Cochise County, Arizona, USA",
Utahite_R190036,7.DE.25,R190036,MgCu2+4Zn2Te6+3O14(OH)4 6H2O,Mg Cu Zn Te O H,[RRUF](https://rruff.info/R190036) [Mindat](http://www.mindat.org/search.php?name=Utahite),532,RAW,"Blue acicular crystals found as isolated crystals, or as sprays, associated with quartz and greenish dugganiteThe identification of this mineral has been confirmed by single-crystal X-ray diffraction owner: RRUFFPeter Megaw locality: Tombstone, Cochise County, Arizona, USA",
Utahite_R190036,7.DE.25,R190036,MgCu2+4Zn2Te6+3O14(OH)4 6H2O,Mg Cu Zn Te O H,[RRUF](https://rruff.info/R190036) [Mindat](http://www.mindat.org/search.php?name=Utahite),780,Proceed,"Blue acicular crystals found as isolated crystals, or as sprays, associated with quartz and greenish dugganiteThe identification of this mineral has been confirmed by single-crystal X-ray diffraction owner: RRUFFPeter Megaw locality: Tombstone, Cochise County, Arizona, USA",
Uvarovite_R060477,9.AD.25,R060477,Ca3Cr2(SiO4)3,Ca Cr Si O,[RRUF](https://rruff.info/R060477) [Mindat](http://www.mindat.org/search.php?name=Uvarovite),514,RAW,"A druse of green dodecahedral crystalsThe identification of this mineral is confirmed by single-crystal X-ray diffraction and chemical analysis owner: RRUFFMichael Scott locality:  Saranovskiy mine, Sarany, Ural Mountains, Russia",
Uvarovite_R060477,9.AD.25,R060477,Ca3Cr2(SiO4)3,Ca Cr Si O,[RRUF](https://rruff.info/R060477) [Mindat](http://www.mindat.org/search.php?name=Uvarovite),514,Proceed,"A druse of green dodecahedral crystalsThe identification of this mineral is confirmed by single-crystal X-ray diffraction and chemical analysis owner: RRUFFMichael Scott locality:  Saranovskiy mine, Sarany, Ural Mountains, Russia",
Uvarovite_R060477,9.AD.25,R060477,Ca3Cr2(SiO4)3,Ca Cr Si O,[RRUF](https://rruff.info/R060477) [Mindat](http://www.mindat.org/search.php?name=Uvarovite),514,RAW,"A druse of green dodecahedral crystalsThe identification of this mineral is confirmed by single-crystal X-ray diffraction and chemical analysis owner: RRUFFMichael Scott locality:  Saranovskiy mine, Sarany, Ural Mountains, Russia",
Uvarovite_R060477,9.AD.25,R060477,Ca3Cr2(SiO4)3,Ca Cr Si O,[RRUF](https://rruff.info/R060477) [Mindat](http://www.mindat.org/search.php?name=Uvarovite),514,Proceed,"A druse of green dodecahedral crystalsThe identification of this mineral is confirmed by single-crystal X-ray diffraction and chemical analysis owner: RRUFFMichael Scott locality:  Saranovskiy mine, Sarany, Ural Mountains, Russia",
Uvarovite_R060477,9.AD.25,R060477,Ca3Cr2(SiO4)3,Ca Cr Si O,[RRUF](https://rruff.info/R060477) [Mindat](http://www.mindat.org/search.php?name=Uvarovite),514,RAW,"A druse of green dodecahedral crystalsThe identification of this mineral is confirmed by single-crystal X-ray diffraction and chemical analysis owner: RRUFFMichael Scott locality:  Saranovskiy mine, Sarany, Ural Mountains, Russia",
Uvarovite_R060477,9.AD.25,R060477,Ca3Cr2(SiO4)3,Ca Cr Si O,[RRUF](https://rruff.info/R060477) [Mindat](http://www.mindat.org/search.php?name=Uvarovite),514,RAW,"A druse of green dodecahedral crystalsThe identification of this mineral is confirmed by single-crystal X-ray diffraction and chemical analysis owner: RRUFFMichael Scott locality:  Saranovskiy mine, Sarany, Ural Mountains, Russia",
Uvarovite_R060477,9.AD.25,R060477,Ca3Cr2(SiO4)3,Ca Cr Si O,[RRUF](https://rruff.info/R060477) [Mindat](http://www.mindat.org/search.php?name=Uvarovite),514,Proceed,"A druse of green dodecahedral crystalsThe identification of this mineral is confirmed by single-crystal X-ray diffraction and chemical analysis owner: RRUFFMichael Scott locality:  Saranovskiy mine, Sarany, Ural Mountains, Russia",
Uvarovite_R060477,9.AD.25,R060477,Ca3Cr2(SiO4)3,Ca Cr Si O,[RRUF](https://rruff.info/R060477) [Mindat](http://www.mindat.org/search.php?name=Uvarovite),514,Proceed,"A druse of green dodecahedral crystalsThe identification of this mineral is confirmed by single-crystal X-ray diffraction and chemical analysis owner: RRUFFMichael Scott locality:  Saranovskiy mine, Sarany, Ural Mountains, Russia",
Uvarovite_R061041,9.AD.25,R061041,Ca3Cr2(SiO4)3,Ca Cr Si O,[RRUF](https://rruff.info/R061041) [Mindat](http://www.mindat.org/search.php?name=Uvarovite),514,RAW,"Emerald-green euhedral crystalThe identification of this mineral has been confirmed by X-ray diffraction and chemical analysis owner: RRUFFRoyal Ontario Museum locality: Outokumpu, Finland",
Uvarovite_R061041,9.AD.25,R061041,Ca3Cr2(SiO4)3,Ca Cr Si O,[RRUF](https://rruff.info/R061041) [Mindat](http://www.mindat.org/search.php?name=Uvarovite),514,Proceed,"Emerald-green euhedral crystalThe identification of this mineral has been confirmed by X-ray diffraction and chemical analysis owner: RRUFFRoyal Ontario Museum locality: Outokumpu, Finland",
Uvarovite_R061041,9.AD.25,R061041,Ca3Cr2(SiO4)3,Ca Cr Si O,[RRUF](https://rruff.info/R061041) [Mindat](http://www.mindat.org/search.php?name=Uvarovite),514,RAW,"Emerald-green euhedral crystalThe identification of this mineral has been confirmed by X-ray diffraction and chemical analysis owner: RRUFFRoyal Ontario Museum locality: Outokumpu, Finland",
Uvarovite_R061041,9.AD.25,R061041,Ca3Cr2(SiO4)3,Ca Cr Si O,[RRUF](https://rruff.info/R061041) [Mindat](http://www.mindat.org/search.php?name=Uvarovite),514,Proceed,"Emerald-green euhedral crystalThe identification of this mineral has been confirmed by X-ray diffraction and chemical analysis owner: RRUFFRoyal Ontario Museum locality: Outokumpu, Finland",
Uvarovite_R061041,9.AD.25,R061041,Ca3Cr2(SiO4)3,Ca Cr Si O,[RRUF](https://rruff.info/R061041) [Mindat](http://www.mindat.org/search.php?name=Uvarovite),514,Proceed,"Emerald-green euhedral crystalThe identification of this mineral has been confirmed by X-ray diffraction and chemical analysis owner: RRUFFRoyal Ontario Museum locality: Outokumpu, Finland",
