name,strunz,id,formula,elements,hyperlink,wavelength,status,comments,shift
Corundum_8100031.rod,4.CB.05,8100031.rod,Al2O3,Al O,[ROD](https://solsa.crystallography.net/rod/8100031.html) [Mindat](http://www.mindat.org/search.php?name=Corundum),532.0,RAW,,
Corundum_8100033.rod,4.CB.05,8100033.rod,Al2O3,Al O,[ROD](https://solsa.crystallography.net/rod/8100033.html) [Mindat](http://www.mindat.org/search.php?name=Corundum),532.0,RAW,,
Corundum_8100040.rod,4.CB.05,8100040.rod,Al2O3,Al O,[ROD](https://solsa.crystallography.net/rod/8100040.html) [Mindat](http://www.mindat.org/search.php?name=Corundum),780.0,RAW,,
Corundum_8100047.rod,4.CB.05,8100047.rod,Al2O3,Al O,[ROD](https://solsa.crystallography.net/rod/8100047.html) [Mindat](http://www.mindat.org/search.php?name=Corundum),780.0,RAW,,
Corundum_8100048.rod,4.CB.05,8100048.rod,Al2O3,Al O,[ROD](https://solsa.crystallography.net/rod/8100048.html) [Mindat](http://www.mindat.org/search.php?name=Corundum),780.0,RAW,,
Corundum_8100049.rod,4.CB.05,8100049.rod,Al2O3,Al O,[ROD](https://solsa.crystallography.net/rod/8100049.html) [Mindat](http://www.mindat.org/search.php?name=Corundum),780.0,RAW,,
Corundum_8100050.rod,4.CB.05,8100050.rod,Al2O3,Al O,[ROD](https://solsa.crystallography.net/rod/8100050.html) [Mindat](http://www.mindat.org/search.php?name=Corundum),780.0,RAW,,
Corundum_8100051.rod,4.CB.05,8100051.rod,Al2O3,Al O,[ROD](https://solsa.crystallography.net/rod/8100051.html) [Mindat](http://www.mindat.org/search.php?name=Corundum),780.0,RAW,,
Corundum_8100052.rod,4.CB.05,8100052.rod,Al2O3,Al O,[ROD](https://solsa.crystallography.net/rod/8100052.html) [Mindat](http://www.mindat.org/search.php?name=Corundum),780.0,RAW,,
Corundum_8100054.rod,4.CB.05,8100054.rod,Al2O3,Al O,[ROD](https://solsa.crystallography.net/rod/8100054.html) [Mindat](http://www.mindat.org/search.php?name=Corundum),780.0,RAW,,
Corundum_8100055.rod,4.CB.05,8100055.rod,Al2O3,Al O,[ROD](https://solsa.crystallography.net/rod/8100055.html) [Mindat](http://www.mindat.org/search.php?name=Corundum),780.0,RAW,,
Crocoite_3500067.rod,7.FA.20,3500067.rod,Pb(CrO4),Pb Cr O,[ROD](https://solsa.crystallography.net/rod/3500067.html) [Mindat](http://www.mindat.org/search.php?name=Crocoite),532.0,RAW,,
Crocoite_3500138.rod,7.FA.20,3500138.rod,Pb(CrO4),Pb Cr O,[ROD](https://solsa.crystallography.net/rod/3500138.html) [Mindat](http://www.mindat.org/search.php?name=Crocoite),785.0,RAW,,
Crocoite_3500254.rod,7.FA.20,3500254.rod,Pb(CrO4),Pb Cr O,[ROD](https://solsa.crystallography.net/rod/3500254.html) [Mindat](http://www.mindat.org/search.php?name=Crocoite),633.0,RAW,,
Cuprite_1000011.rod,4.AA.10,1000011.rod,Cu2O,Cu O,[ROD](https://solsa.crystallography.net/rod/1000011.html) [Mindat](http://www.mindat.org/search.php?name=Cuprite),514.0,RAW,,
Diopside_3500280.rod,9.DA.15,3500280.rod,CaMgSi2O6,Ca Mg Si O,[ROD](https://solsa.crystallography.net/rod/3500280.html) [Mindat](http://www.mindat.org/search.php?name=Diopside),633.0,RAW,,
Dixenite_1000107.rod,8.BE.45,1000107.rod,Cu1+Fe3+Mn2+14(As5+O4)(As3+O3)5(SiO4)2(OH)6,Cu Fe Mn As O Si H,[ROD](https://solsa.crystallography.net/rod/1000107.html) [Mindat](http://www.mindat.org/search.php?name=Dixenite),780.0,RAW,,
Dixenite_1000284.rod,8.BE.45,1000284.rod,Cu1+Fe3+Mn2+14(As5+O4)(As3+O3)5(SiO4)2(OH)6,Cu Fe Mn As O Si H,[ROD](https://solsa.crystallography.net/rod/1000284.html) [Mindat](http://www.mindat.org/search.php?name=Dixenite),532.0,RAW,,
Dolomite_1000016.rod,5.AB.10,1000016.rod,CaMg(CO3)2,Ca Mg C O,[ROD](https://solsa.crystallography.net/rod/1000016.html) [Mindat](http://www.mindat.org/search.php?name=Dolomite),514.0,RAW,,
Dolomite_1000487.rod,5.AB.10,1000487.rod,CaMg(CO3)2,Ca Mg C O,[ROD](https://solsa.crystallography.net/rod/1000487.html) [Mindat](http://www.mindat.org/search.php?name=Dolomite),532.0,RAW,,
Dolomite_1000488.rod,5.AB.10,1000488.rod,CaMg(CO3)2,Ca Mg C O,[ROD](https://solsa.crystallography.net/rod/1000488.html) [Mindat](http://www.mindat.org/search.php?name=Dolomite),532.0,RAW,,
Dolomite_1000627.rod,5.AB.10,1000627.rod,CaMg(CO3)2,Ca Mg C O,[ROD](https://solsa.crystallography.net/rod/1000627.html) [Mindat](http://www.mindat.org/search.php?name=Dolomite),780.0,RAW,,
Dolomite_1000628.rod,5.AB.10,1000628.rod,CaMg(CO3)2,Ca Mg C O,[ROD](https://solsa.crystallography.net/rod/1000628.html) [Mindat](http://www.mindat.org/search.php?name=Dolomite),780.0,RAW,,
Dolomite_3500275.rod,5.AB.10,3500275.rod,CaMg(CO3)2,Ca Mg C O,[ROD](https://solsa.crystallography.net/rod/3500275.html) [Mindat](http://www.mindat.org/search.php?name=Dolomite),633.0,RAW,,
Dreyerite_1000159.rod,8.AD.35,1000159.rod,Bi(VO4),Bi V O,[ROD](https://solsa.crystallography.net/rod/1000159.html) [Mindat](http://www.mindat.org/search.php?name=Dreyerite),780.0,RAW,,
Dreyerite_1000340.rod,8.AD.35,1000340.rod,Bi(VO4),Bi V O,[ROD](https://solsa.crystallography.net/rod/1000340.html) [Mindat](http://www.mindat.org/search.php?name=Dreyerite),532.0,RAW,,
Dugganite_1000062.rod,8.BH.35,1000062.rod,Pb3Zn3(TeO6)(AsO4)2,Pb Zn Te O As,[ROD](https://solsa.crystallography.net/rod/1000062.html) [Mindat](http://www.mindat.org/search.php?name=Dugganite),780.0,RAW,,
Dugganite_1000241.rod,8.BH.35,1000241.rod,Pb3Zn3(TeO6)(AsO4)2,Pb Zn Te O As,[ROD](https://solsa.crystallography.net/rod/1000241.html) [Mindat](http://www.mindat.org/search.php?name=Dugganite),532.0,RAW,,
Dukeite_1000081.rod,8.DL.20,1000081.rod,Bi3+24Cr6+8O57(OH)6 3H2O,Bi Cr O H,[ROD](https://solsa.crystallography.net/rod/1000081.html) [Mindat](http://www.mindat.org/search.php?name=Dukeite),780.0,RAW,,
Dukeite_1000257.rod,8.DL.20,1000257.rod,Bi3+24Cr6+8O57(OH)6 3H2O,Bi Cr O H,[ROD](https://solsa.crystallography.net/rod/1000257.html) [Mindat](http://www.mindat.org/search.php?name=Dukeite),532.0,RAW,,
Durangite_2200005.rod,5.DB.10,2200005.rod,NaAl(AsO4)F,Na Al As O F,[ROD](https://solsa.crystallography.net/rod/2200005.html) [Mindat](http://www.mindat.org/search.php?name=Durangite),532.0,RAW,,
Dussertite_1000056.rod,9.CM.05,1000056.rod,BaFe3+3(AsO4)(AsO3OH)(OH)6,Ba Fe As O H,[ROD](https://solsa.crystallography.net/rod/1000056.html) [Mindat](http://www.mindat.org/search.php?name=Dussertite),780.0,RAW,,
Dussertite_1000232.rod,9.CM.05,1000232.rod,BaFe3+3(AsO4)(AsO3OH)(OH)6,Ba Fe As O H,[ROD](https://solsa.crystallography.net/rod/1000232.html) [Mindat](http://www.mindat.org/search.php?name=Dussertite),532.0,RAW,,
Eclarite_1000125.rod,2.HB.10c,1000125.rod,"(Cu,Fe)Pb9Bi12S28",Cu Fe Pb Bi S,[ROD](https://solsa.crystallography.net/rod/1000125.html) [Mindat](http://www.mindat.org/search.php?name=Eclarite),780.0,RAW,,
Eclarite_1000301.rod,2.HB.10c,1000301.rod,"(Cu,Fe)Pb9Bi12S28",Cu Fe Pb Bi S,[ROD](https://solsa.crystallography.net/rod/1000301.html) [Mindat](http://www.mindat.org/search.php?name=Eclarite),532.0,RAW,,
Edoylerite_1000063.rod,7.FB.25,1000063.rod,Hg2+3(Cr6+O4)S2,Hg Cr O S,[ROD](https://solsa.crystallography.net/rod/1000063.html) [Mindat](http://www.mindat.org/search.php?name=Edoylerite),780.0,RAW,,
Edoylerite_1000242.rod,7.FB.25,1000242.rod,Hg2+3(Cr6+O4)S2,Hg Cr O S,[ROD](https://solsa.crystallography.net/rod/1000242.html) [Mindat](http://www.mindat.org/search.php?name=Edoylerite),532.0,RAW,,
Eirikite_1000140.rod,9.EH.25,1000140.rod,KNa6Be2(Si15Al3)O39F2,K Na Be Si Al O F,[ROD](https://solsa.crystallography.net/rod/1000140.html) [Mindat](http://www.mindat.org/search.php?name=Eirikite),780.0,RAW,,
Eirikite_1000317.rod,9.EH.25,1000317.rod,KNa6Be2(Si15Al3)O39F2,K Na Be Si Al O F,[ROD](https://solsa.crystallography.net/rod/1000317.html) [Mindat](http://www.mindat.org/search.php?name=Eirikite),532.0,RAW,,
Eitelite_1000139.rod,5.AC.05,1000139.rod,Na2Mg(CO3)2,Na Mg C O,[ROD](https://solsa.crystallography.net/rod/1000139.html) [Mindat](http://www.mindat.org/search.php?name=Eitelite),780.0,RAW,,
Eitelite_1000315.rod,5.AC.05,1000315.rod,Na2Mg(CO3)2,Na Mg C O,[ROD](https://solsa.crystallography.net/rod/1000315.html) [Mindat](http://www.mindat.org/search.php?name=Eitelite),532.0,RAW,,
Elyite_1000101.rod,7.DF.65,1000101.rod,CuPb4(SO4)O2(OH)4 H2O,Cu Pb S O H,[ROD](https://solsa.crystallography.net/rod/1000101.html) [Mindat](http://www.mindat.org/search.php?name=Elyite),780.0,RAW,,
Elyite_1000277.rod,7.DF.65,1000277.rod,CuPb4(SO4)O2(OH)4 H2O,Cu Pb S O H,[ROD](https://solsa.crystallography.net/rod/1000277.html) [Mindat](http://www.mindat.org/search.php?name=Elyite),532.0,RAW,,
Enstatite_3500029.rod,9.DA.05,3500029.rod,Mg2Si2O6,Mg Si O,[ROD](https://solsa.crystallography.net/rod/3500029.html) [Mindat](http://www.mindat.org/search.php?name=Enstatite),514.0,RAW,,
Epidote_1000127.rod,9.BG.05a,1000127.rod,Ca2(Al2Fe3+) [Si2O7 ] [SiO4 ]O(OH),Ca Al Fe Si O H,[ROD](https://solsa.crystallography.net/rod/1000127.html) [Mindat](http://www.mindat.org/search.php?name=Epidote),780.0,RAW,,
Epidote_1000128.rod,9.BG.05a,1000128.rod,Ca2(Al2Fe3+) [Si2O7 ] [SiO4 ]O(OH),Ca Al Fe Si O H,[ROD](https://solsa.crystallography.net/rod/1000128.html) [Mindat](http://www.mindat.org/search.php?name=Epidote),780.0,RAW,,
Epidote_1000303.rod,9.BG.05a,1000303.rod,Ca2(Al2Fe3+) [Si2O7 ] [SiO4 ]O(OH),Ca Al Fe Si O H,[ROD](https://solsa.crystallography.net/rod/1000303.html) [Mindat](http://www.mindat.org/search.php?name=Epidote),532.0,RAW,,
Epidote_1000304.rod,9.BG.05a,1000304.rod,Ca2(Al2Fe3+) [Si2O7 ] [SiO4 ]O(OH),Ca Al Fe Si O H,[ROD](https://solsa.crystallography.net/rod/1000304.html) [Mindat](http://www.mindat.org/search.php?name=Epidote),532.0,RAW,,
Erdite_1000076.rod,2.FD.20,1000076.rod,NaFeS2 2H2O,Na Fe S H O,[ROD](https://solsa.crystallography.net/rod/1000076.html) [Mindat](http://www.mindat.org/search.php?name=Erdite),780.0,RAW,,
Erdite_1000253.rod,2.FD.20,1000253.rod,NaFeS2 2H2O,Na Fe S H O,[ROD](https://solsa.crystallography.net/rod/1000253.html) [Mindat](http://www.mindat.org/search.php?name=Erdite),532.0,RAW,,
Erythrite_1000398.rod,8.CE.40,1000398.rod,Co3(AsO4)2 8H2O,Co As O H,[ROD](https://solsa.crystallography.net/rod/1000398.html) [Mindat](http://www.mindat.org/search.php?name=Erythrite),532.0,RAW,,
Erythrite_1000506.rod,8.CE.40,1000506.rod,Co3(AsO4)2 8H2O,Co As O H,[ROD](https://solsa.crystallography.net/rod/1000506.html) [Mindat](http://www.mindat.org/search.php?name=Erythrite),532.0,RAW,,
Erythrite_1000631.rod,8.CE.40,1000631.rod,Co3(AsO4)2 8H2O,Co As O H,[ROD](https://solsa.crystallography.net/rod/1000631.html) [Mindat](http://www.mindat.org/search.php?name=Erythrite),780.0,RAW,,
Erythrite_1000646.rod,8.CE.40,1000646.rod,Co3(AsO4)2 8H2O,Co As O H,[ROD](https://solsa.crystallography.net/rod/1000646.html) [Mindat](http://www.mindat.org/search.php?name=Erythrite),780.0,RAW,,
Eskolaite_3500156.rod,4.CB.05,3500156.rod,Cr2O3,Cr O,[ROD](https://solsa.crystallography.net/rod/3500156.html) [Mindat](http://www.mindat.org/search.php?name=Eskolaite),785.0,RAW,,
Eskolaite_3500232.rod,4.CB.05,3500232.rod,Cr2O3,Cr O,[ROD](https://solsa.crystallography.net/rod/3500232.html) [Mindat](http://www.mindat.org/search.php?name=Eskolaite),633.0,RAW,,
Esperite_1000051.rod,9.AB.15,1000051.rod,PbCa2(ZnSiO4)3,Pb Ca Zn Si O,[ROD](https://solsa.crystallography.net/rod/1000051.html) [Mindat](http://www.mindat.org/search.php?name=Esperite),780.0,RAW,,
Esperite_1000459.rod,9.AB.15,1000459.rod,PbCa2(ZnSiO4)3,Pb Ca Zn Si O,[ROD](https://solsa.crystallography.net/rod/1000459.html) [Mindat](http://www.mindat.org/search.php?name=Esperite),532.0,RAW,,
Esperite_1000475.rod,9.AB.15,1000475.rod,PbCa2(ZnSiO4)3,Pb Ca Zn Si O,[ROD](https://solsa.crystallography.net/rod/1000475.html) [Mindat](http://www.mindat.org/search.php?name=Esperite),532.0,RAW,,
Esperite_1000476.rod,9.AB.15,1000476.rod,PbCa2(ZnSiO4)3,Pb Ca Zn Si O,[ROD](https://solsa.crystallography.net/rod/1000476.html) [Mindat](http://www.mindat.org/search.php?name=Esperite),532.0,RAW,,
Esperite_1000616.rod,9.AB.15,1000616.rod,PbCa2(ZnSiO4)3,Pb Ca Zn Si O,[ROD](https://solsa.crystallography.net/rod/1000616.html) [Mindat](http://www.mindat.org/search.php?name=Esperite),780.0,RAW,,
Esperite_1000617.rod,9.AB.15,1000617.rod,PbCa2(ZnSiO4)3,Pb Ca Zn Si O,[ROD](https://solsa.crystallography.net/rod/1000617.html) [Mindat](http://www.mindat.org/search.php?name=Esperite),780.0,RAW,,
Esperite_1000635.rod,9.AB.15,1000635.rod,PbCa2(ZnSiO4)3,Pb Ca Zn Si O,[ROD](https://solsa.crystallography.net/rod/1000635.html) [Mindat](http://www.mindat.org/search.php?name=Esperite),780.0,RAW,,
Eveite_2200002.rod,8.BB.30,2200002.rod,Mn2+2(AsO4)(OH),Mn As O H,[ROD](https://solsa.crystallography.net/rod/2200002.html) [Mindat](http://www.mindat.org/search.php?name=Eveite),532.0,RAW,,
Ezcurrite_1000069.rod,6.EB.10,1000069.rod,Na2B5O7(OH)3 2H2O,Na B O H,[ROD](https://solsa.crystallography.net/rod/1000069.html) [Mindat](http://www.mindat.org/search.php?name=Ezcurrite),780.0,RAW,,
Ezcurrite_1000247.rod,6.EB.10,1000247.rod,Na2B5O7(OH)3 2H2O,Na B O H,[ROD](https://solsa.crystallography.net/rod/1000247.html) [Mindat](http://www.mindat.org/search.php?name=Ezcurrite),532.0,RAW,,
Famatinite_8100011.rod,2.KA.10,8100011.rod,Cu3SbS4,Cu Sb S,[ROD](https://solsa.crystallography.net/rod/8100011.html) [Mindat](http://www.mindat.org/search.php?name=Famatinite),780.0,RAW,,
Farringtonite_1000163.rod,8.AB.05,1000163.rod,Mg3(PO4)2,Mg P O,[ROD](https://solsa.crystallography.net/rod/1000163.html) [Mindat](http://www.mindat.org/search.php?name=Farringtonite),780.0,RAW,,
Farringtonite_1000344.rod,8.AB.05,1000344.rod,Mg3(PO4)2,Mg P O,[ROD](https://solsa.crystallography.net/rod/1000344.html) [Mindat](http://www.mindat.org/search.php?name=Farringtonite),532.0,RAW,,
Fenaksite_1000097.rod,9.DG.70,1000097.rod,KNaFe2+Si4O10,K Na Fe Si O,[ROD](https://solsa.crystallography.net/rod/1000097.html) [Mindat](http://www.mindat.org/search.php?name=Fenaksite),780.0,RAW,,
Fenaksite_1000273.rod,9.DG.70,1000273.rod,KNaFe2+Si4O10,K Na Fe Si O,[ROD](https://solsa.crystallography.net/rod/1000273.html) [Mindat](http://www.mindat.org/search.php?name=Fenaksite),532.0,RAW,,
Ferronigerite-2N1S_1000146.rod,4.FC.20,1000146.rod,"(Al,Fe,Zn)2(Al,Sn)6O11(OH)",Al Fe Zn Sn O H,[ROD](https://solsa.crystallography.net/rod/1000146.html) [Mindat](http://www.mindat.org/search.php?name=Ferronigerite-2N1S),780.0,RAW,,
Ferronigerite-2N1S_1000322.rod,4.FC.20,1000322.rod,"(Al,Fe,Zn)2(Al,Sn)6O11(OH)",Al Fe Zn Sn O H,[ROD](https://solsa.crystallography.net/rod/1000322.html) [Mindat](http://www.mindat.org/search.php?name=Ferronigerite-2N1S),532.0,RAW,,
Fettelite_1000110.rod,2.LA.30,1000110.rod, [Ag6As2S7 ] [Ag10HgAs2S8 ],Ag As S Hg,[ROD](https://solsa.crystallography.net/rod/1000110.html) [Mindat](http://www.mindat.org/search.php?name=Fettelite),780.0,RAW,,
