name,strunz,id,formula,elements,hyperlink,wavelength,status,comments,shift
Betpakdalite-CaMg_R060242,8.DM.,R060242, [Ca2(H2O)17Mg(H2O)6 ] [Mo6+8As5+2Fe3+3O36(OH) ],Ca H O Mg Mo As Fe,[RRUF](https://rruff.info/R060242) [Mindat](http://www.mindat.org/search.php?name=Betpakdalite-CaMg),780,Proceed,"Yellow short prismatic crystalsThe identification of this mineral is confirmed by single-crystal X-ray diffraction and chemical analysis owner: RRUFFWilliam W. Pinch locality: Tsumeb mine, Tsumeb, Otavi District, Oshikoto, Namibia",
Betpakdalite-CaMg_R060242,8.DM.,R060242, [Ca2(H2O)17Mg(H2O)6 ] [Mo6+8As5+2Fe3+3O36(OH) ],Ca H O Mg Mo As Fe,[RRUF](https://rruff.info/R060242) [Mindat](http://www.mindat.org/search.php?name=Betpakdalite-CaMg),532,Proceed,"Yellow short prismatic crystalsThe identification of this mineral is confirmed by single-crystal X-ray diffraction and chemical analysis owner: RRUFFWilliam W. Pinch locality: Tsumeb mine, Tsumeb, Otavi District, Oshikoto, Namibia",
Beudantite_R060985,8.BL.05,R060985,PbFe3+3(AsO4)(SO4)(OH)6,Pb Fe As O S H,[RRUF](https://rruff.info/R060985) [Mindat](http://www.mindat.org/search.php?name=Beudantite),532,Proceed,"Pale green rhombohedraThe identification of this mineral is confirmed by single-crystal X-ray diffraction and chemical analysis owner: RRUFFBob Jenkins locality: Kintore Opencut, Broken Hill, New South Wales, Australia",
Beudantite_R060985,8.BL.05,R060985,PbFe3+3(AsO4)(SO4)(OH)6,Pb Fe As O S H,[RRUF](https://rruff.info/R060985) [Mindat](http://www.mindat.org/search.php?name=Beudantite),785,Proceed,"Pale green rhombohedraThe identification of this mineral is confirmed by single-crystal X-ray diffraction and chemical analysis owner: RRUFFBob Jenkins locality: Kintore Opencut, Broken Hill, New South Wales, Australia",
Beudantite_R070189,8.BL.05,R070189,PbFe3+3(AsO4)(SO4)(OH)6,Pb Fe As O S H,[RRUF](https://rruff.info/R070189) [Mindat](http://www.mindat.org/search.php?name=Beudantite),785,Proceed,"Transparent brown rhombohedra or pseudocubes associated with green duftiteThe identification of this mineral is confirmed by single-crystal X-ray diffraction and chemical analysis owner: RRUFFWilliam W. Pinch locality: Tsumeb mine, Tsumeb, Otavi District, Oshikoto, Namibia",
Beudantite_R070189,8.BL.05,R070189,PbFe3+3(AsO4)(SO4)(OH)6,Pb Fe As O S H,[RRUF](https://rruff.info/R070189) [Mindat](http://www.mindat.org/search.php?name=Beudantite),532,Proceed,"Transparent brown rhombohedra or pseudocubes associated with green duftiteThe identification of this mineral is confirmed by single-crystal X-ray diffraction and chemical analysis owner: RRUFFWilliam W. Pinch locality: Tsumeb mine, Tsumeb, Otavi District, Oshikoto, Namibia",
Beudantite_R070189,8.BL.05,R070189,PbFe3+3(AsO4)(SO4)(OH)6,Pb Fe As O S H,[RRUF](https://rruff.info/R070189) [Mindat](http://www.mindat.org/search.php?name=Beudantite),532,Proceed,"Transparent brown rhombohedra or pseudocubes associated with green duftiteThe identification of this mineral is confirmed by single-crystal X-ray diffraction and chemical analysis owner: RRUFFWilliam W. Pinch locality: Tsumeb mine, Tsumeb, Otavi District, Oshikoto, Namibia",
Beudantite_R070189,8.BL.05,R070189,PbFe3+3(AsO4)(SO4)(OH)6,Pb Fe As O S H,[RRUF](https://rruff.info/R070189) [Mindat](http://www.mindat.org/search.php?name=Beudantite),785,Proceed,"Transparent brown rhombohedra or pseudocubes associated with green duftiteThe identification of this mineral is confirmed by single-crystal X-ray diffraction and chemical analysis owner: RRUFFWilliam W. Pinch locality: Tsumeb mine, Tsumeb, Otavi District, Oshikoto, Namibia",
Beudantite_R070190,8.BL.05,R070190,PbFe3+3(AsO4)(SO4)(OH)6,Pb Fe As O S H,[RRUF](https://rruff.info/R070190) [Mindat](http://www.mindat.org/search.php?name=Beudantite),785,Proceed,"Rootbeer brown thin tabular platesThe identification of this mineral is confirmed by single-crystal X-ray diffraction and chemical analysis owner: RRUFFWilliam W. Pinch locality: Tsumeb mine, Tsumeb, Otavi District, Oshikoto, Namibia",
Beudantite_R070190,8.BL.05,R070190,PbFe3+3(AsO4)(SO4)(OH)6,Pb Fe As O S H,[RRUF](https://rruff.info/R070190) [Mindat](http://www.mindat.org/search.php?name=Beudantite),532,Proceed,"Rootbeer brown thin tabular platesThe identification of this mineral is confirmed by single-crystal X-ray diffraction and chemical analysis owner: RRUFFWilliam W. Pinch locality: Tsumeb mine, Tsumeb, Otavi District, Oshikoto, Namibia",
Beudantite_R070492,8.BL.05,R070492,PbFe3+3(AsO4)(SO4)(OH)6,Pb Fe As O S H,[RRUF](https://rruff.info/R070492) [Mindat](http://www.mindat.org/search.php?name=Beudantite),785,Proceed,"Druse of light green rhombohedral crystalsThe identification of this mineral is confirmed by single-crystal X-ray diffraction and chemical analysis owner: RRUFFBob Jenkins locality: Capitana mine, Copiapó Province, Atacama Region, Chile",
